parent_station,service_hour,from_line,from_direction,to_line,to_direction,comparable_connections,mean_extra_transfer_wait_seconds,missed_scheduled_connection_rate
place-dwnxg,20,Red,1,Orange,1,773,77.2522639068564,0.3557567917205691
place-dwnxg,21,Orange,0,Red,0,495,83.21616161616161,0.42626262626262623
place-dwnxg,21,Orange,0,Red,1,752,71.12898936170212,0.42686170212765956
place-dwnxg,21,Orange,1,Red,0,514,90.74708171206225,0.39105058365758755
place-dwnxg,21,Orange,1,Red,1,767,75.77183833116037,0.36897001303780963
place-dwnxg,21,Red,0,Orange,0,474,60.029535864978904,0.4177215189873418
place-dwnxg,21,Red,0,Orange,1,474,90.16244725738396,0.4915611814345991
place-dwnxg,21,Red,1,Orange,0,723,59.333333333333336,0.355463347164592
place-dwnxg,21,Red,1,Orange,1,723,79.2268326417704,0.3969571230982019
place-dwnxg,22,Orange,0,Red,0,489,76.23926380368098,0.4498977505112474
place-dwnxg,22,Orange,0,Red,1,736,70.26358695652173,0.41847826086956524
place-dwnxg,22,Orange,1,Red,0,498,74.99598393574297,0.4357429718875502
place-dwnxg,22,Orange,1,Red,1,734,72.23841961852861,0.3760217983651226
place-dwnxg,22,Red,0,Orange,0,446,73.50224215246637,0.5044843049327354
place-dwnxg,22,Red,0,Orange,1,446,75.82959641255606,0.5067264573991032
place-dwnxg,22,Red,1,Orange,0,680,70.76764705882353,0.4308823529411765
place-dwnxg,22,Red,1,Orange,1,680,82.05735294117648,0.4455882352941177
place-dwnxg,23,Orange,0,Red,0,468,73.55555555555556,0.5277777777777778
place-dwnxg,23,Orange,0,Red,1,692,90.58381502890174,0.5592485549132948
place-dwnxg,23,Orange,1,Red,0,442,92.39592760180996,0.5497737556561086
place-dwnxg,23,Orange,1,Red,1,637,104.84458398744113,0.4945054945054945
place-dwnxg,23,Red,0,Orange,0,382,62.90575916230367,0.5706806282722513
place-dwnxg,23,Red,0,Orange,1,397,72.95214105793451,0.5969773299748111
place-dwnxg,23,Red,1,Orange,0,620,56.80483870967742,0.5483870967741935
place-dwnxg,23,Red,1,Orange,1,620,85.55483870967743,0.6
place-gover,0,Blue,0,Green,0,340,96.90294117647059,0.40294117647058825
place-gover,0,Blue,0,Green,1,340,86.66176470588235,0.3558823529411765
place-gover,0,Blue,1,Green,0,340,239.44411764705882,0.35882352941176465
place-gover,0,Blue,1,Green,1,340,65.3970588235294,0.45294117647058824
place-gover,0,Green,0,Blue,0,834,680.0767386091127,0.13549160671462826
place-gover,0,Green,0,Blue,1,1007,484.44587884806356,0.09334657398212508
place-gover,0,Green,1,Blue,0,1240,488.18870967741935,0.1919354838709677
place-gover,0,Green,1,Blue,1,1529,868.1229561805102,0.17985611510791363
place-gover,1,Blue,0,Green,0,80,368.4875,0.37499999999999994
place-gover,1,Blue,0,Green,1,80,261.1625,0.35
place-gover,1,Blue,1,Green,0,97,281.37113402061857,0.3711340206185567
place-gover,1,Blue,1,Green,1,97,466.78350515463916,0.35051546391752575
place-gover,1,Green,0,Blue,0,126,2623.9126984126983,0.23015873015873012
place-gover,1,Green,0,Blue,1,146,2236.8561643835615,0.2054794520547945
place-gover,1,Green,1,Blue,0,187,3110.0320855614973,0.21925133689839568
place-gover,1,Green,1,Blue,1,216,3113.421296296296,0.23148148148148145
place-gover,2,Green,0,Blue,0,2,11363.5,0.5
place-gover,2,Green,0,Blue,1,2,12316.5,0.5
place-gover,2,Green,1,Blue,0,19,9124.578947368422,0.10526315789473684
place-gover,2,Green,1,Blue,1,19,9554.157894736842,0.0
place-gover,3,Green,1,Blue,0,1,7408.0,0.0
place-gover,3,Green,1,Blue,1,1,8292.0,0.0
place-gover,4,Blue,1,Green,0,21,1373.7619047619048,0.0
place-gover,4,Blue,1,Green,1,21,1670.4285714285713,0.0
place-gover,4,Green,0,Blue,0,2,1213.0,0.0
place-gover,4,Green,0,Blue,1,2,3059.0,0.0
place-gover,5,Blue,0,Green,0,454,77.23568281938326,0.2577092511013216
place-gover,5,Blue,0,Green,1,454,89.18722466960352,0.3568281938325991
